name,credit_card,email,url,phone,address,company,ssn,text,True Predictions
Victor Walker,"JCB 16 digit
Alexander Castillo
3588880067752591 07/35
CVC: 158
",nsmith@example.net,https://www.taylor-ramos.com/,+91 6195558620,"3289 Amy Villages Suite 325
Watersstad, GU 42066",Miller-Gonzalez,627-97-9650,Verify SSN 627-97-9650 at https://wwwtaylor-ramoscom/,"[(11, 22, 'ssn')]"
Melinda Schultz,"JCB 15 digit
Theresa Hughes
180054006487564 05/34
CVC: 099
",margarethughes@example.org,https://caldwell-adams.com/,+91 1544338011,"95943 Weber Manors Suite 628
North Chad, VA 76805","Harvey, Griffith and Johnson",588-39-7436,"The complete report for Harvey, Griffith and Johnson is available at https://caldwell-adams.com/.","[(69, 96, 'url'), (24, 52, 'company')]"
Jose Hutchinson,"JCB 15 digit
Shannon Murphy
180088856964710 05/34
CVC: 638
",brett43@example.net,https://brown-foster.com/,+086 3404023282,"01411 Samuel Springs Suite 216
East Jean, PR 34470","Hanson, Brown and Mitchell",498-84-0162,Contact Jose Hutchinson at brett43@example.net or +086 3404023282.,"[(8, 23, 'name'), (27, 46, 'email'), (50, 65, 'phone')]"
Linda Baker,"JCB 15 digit
Lisa Goodwin
213140782082132 04/32
CVC: 931
",wrightjustin@example.org,https://www.pham.com/,+28 9946960416,"496 Williams Island Suite 975
Berrystad, NJ 93422",Valencia-Foster,693-43-0948,"Payment made by Linda Baker using card JCB 15 digit
Lisa Goodwin
213140782082132 04/32
CVC: 931
.","[(16, 27, 'name'), (39, 96, 'credit_card')]"
Erica Scott,"JCB 16 digit
Rachael Harrison
3521944884238406 09/26
CVC: 503
",lauraschroeder@example.org,https://williams-harris.com/,+68 8351173329,"PSC 0967, Box 4355
APO AP 11646","Ross, Williams and Green",166-83-9377,"The address is PSC 0967, Box 4355
APO AP 11646","[(15, 46, 'address')]"
Brandon Johnson,"JCB 16 digit
Michelle Andrews
3507855276544268 01/27
CVC: 978
",jasonmoore@example.net,https://www.schneider-donaldson.com/,+36 1387047753,"15526 Christine Summit
Wilkinsonport, ME 58319",Graham-White,379-37-6949,SSN 379-37-6949 is required.,"[(4, 15, 'ssn')]"
Luke Martin,"JCB 16 digit
Michael Chen
3564629091332070 10/30
CVC: 500
",johngray@example.net,http://www.ross.net/,+91 0488139917,"572 Foster Keys Suite 615
Changstad, PA 46175",King-Jones,546-99-5210,"Invoice for King-Jones, sent to 572 Foster Keys Suite 615
Changstad, PA 46175","[(32, 77, 'address'), (12, 22, 'company')]"
Alexis Armstrong,"Diners Club / Carte Blanche
Katherine Hahn
30370169115103 04/34
CVC: 505
",qbarnes@example.net,http://www.taylor-martinez.com/,+88 4769326360,"5757 Johnson Rest
Port Angela, AK 77827",Yates-Tran,864-49-6840,Reach out to Alexis Armstrong regarding the Yates-Tran audit.,"[(13, 29, 'name'), (44, 54, 'company')]"
William Ramos,"Discover
Reginald Mcpherson
6501321154145271 09/29
CVC: 708
",karen00@example.com,http://www.holden-brown.biz/,+093 9751468871,"8076 Joel Road Suite 748
West Jenniferton, PR 06592",Gillespie Ltd,401-14-6967,My email is karen00@examplecom and phone is +093 9751468871,"[(44, 59, 'phone')]"
Kristin Price,"VISA 19 digit
Robert Finley
4657406883812421529 12/29
CVC: 497
",dunderwood@example.com,http://schwartz-anderson.com/,+91 0941078509,"65699 Hernandez Turnpike Suite 121
Dawsontown, KS 93743","Mcdowell, Yoder and Meyer",454-95-4690,"Confirmed transaction on card VISA 19 digit
Robert Finley
4657406883812421529 12/29
CVC: 497
 for Kristin Price","[(98, 111, 'name'), (30, 93, 'credit_card')]"
Bonnie Taylor,"Mastercard
Lindsay Harrison
5475766188614151 03/28
CVV: 293
",mponce@example.net,https://santos.com/,+27 7211368471,"04990 Howe Groves
Port Lisamouth, WI 51279","Lucas, Alvarado and Holt",899-13-0251,Verify SSN 899-13-0251 at https://santoscom/.,"[(11, 22, 'ssn')]"
Carlos Mcgee,"VISA 13 digit
David Fernandez
4694168775621 08/26
CVC: 086
",osmith@example.net,https://mason-valdez.com/,+91 5501691010,"570 Bryant Extension Apt. 922
Scottland, KY 36217","Martin, Price and Hopkins",055-89-2861,"The complete report for Martin, Price and Hopkins is available at https://mason-valdez.com/.","[(66, 91, 'url'), (24, 49, 'company')]"
Justin Cole,"Diners Club / Carte Blanche
Matthew Carter
30221642038109 07/30
CVC: 459
",shelly36@example.com,http://www.huff.com/,+647 8621254238,"3184 Jason Mall Apt. 899
North Maria, SD 58358",Gonzalez LLC,711-21-6726,Contact Justin Cole at shelly36@example.com or +647 8621254238.,"[(8, 19, 'name'), (23, 43, 'email'), (47, 62, 'phone')]"
Stanley Jones,"VISA 16 digit
Lisa Bowers
4272998470892967 07/35
CVC: 576
",jcastillo@example.org,https://jones.org/,+89 5037501581,"555 Nicholas Overpass
East John, WV 08796",Sanders PLC,383-81-3280,"Payment made by Stanley Jones using card VISA 16 digit
Lisa Bowers
4272998470892967 07/35
CVC: 576
.","[(16, 29, 'name'), (41, 99, 'credit_card')]"
Marie Taylor,"Maestro
Angela Freeman
676134749768 12/26
CVV: 967
",maldonadojay@example.net,http://www.robinson.com/,+91 9887740304,"02309 Ellis Village
Simpsonside, NV 48420",Lopez Inc,380-58-0275,"The address is 02309 Ellis Village
Simpsonside, NV 48420.","[(15, 56, 'address')]"
Brandon Aguilar,"JCB 15 digit
Pamela Kaiser
180006364577519 09/35
CVC: 198
",houstonteresa@example.net,https://jones.com/,+91 5941072362,"9423 Cortez Mountain
New Alyssa, OK 68352",Bates-Parker,083-23-3651,SSN 083-23-3651 is required.,"[(4, 15, 'ssn')]"
Allison Daugherty,"VISA 16 digit
Brian Gaines
4460237341598913 05/34
CVC: 849
",amy80@example.com,https://stewart.net/,+47 3983000120,"058 Bowman Inlet Apt. 867
Rosarioview, CO 32310",Cox-Miranda,047-13-0011,"Invoice for Cox-Miranda, sent to 058 Bowman Inlet Apt. 867
Rosarioview, CO 32310.","[(33, 80, 'address'), (12, 23, 'company')]"
Michelle Kelly,"JCB 16 digit
Glenn Perkins
3541420522556299 10/32
CVC: 277
",nmaldonado@example.net,http://www.cuevas.net/,+182 6741645899,"7957 Henry Roads
Hansenfort, HI 50887",Kelly Inc,695-42-2959,Reach out to Michelle Kelly regarding the Kelly Inc audit.,"[(13, 27, 'name'), (42, 51, 'company')]"
Brenda Diaz,"American Express
Timothy Clark
348036928546154 06/30
CID: 4463
",amberherman@example.org,http://murphy.com/,+17 3643489658,"2765 Benjamin Turnpike
East Kaitlynstad, MP 40244","Pineda, Barajas and Phillips",038-05-9299,My email is amberherman@example.org and phone is +17 3643489658.,"[(12, 35, 'email'), (49, 63, 'phone')]"
Daniel Wyatt,"JCB 15 digit
Susan Smith
213161712903254 09/32
CVC: 670
",nevans@example.org,http://warner-rhodes.info/,+91 9847098368,"810 Phillips Cove
Port Karaborough, OK 55166",Yang-Scott,032-77-1154,"Confirmed transaction on card JCB 15 digit
Susan Smith
213161712903254 09/32
CVC: 670
 for Daniel Wyatt","[(91, 103, 'name'), (30, 86, 'credit_card')]"
Joseph Henry,"VISA 19 digit
Victor Smith
4959767906605559107 03/27
CVC: 626
",jonathanmontes@example.com,http://pham.net/,+47 3527205323,"11900 Amber Port
Erinside, FM 27260",Jackson Group,750-10-2888,Verify SSN 750-10-2888 at http://phamnet/,"[(11, 22, 'ssn')]"
Karen Bentley,"VISA 16 digit
Christian Soto
4123413856155485 09/34
CVC: 640
",bradley58@example.com,http://www.smith-singh.com/,+91 7065698990,"50276 Jimenez Lights Apt. 549
Lake Kellyborough, FL 30205",Ramsey-Williams,512-99-3164,The complete report for Ramsey-Williams is available at http://www.smith-singh.com/.,"[(56, 83, 'url'), (24, 39, 'company')]"
Mr. Karl Guzman,"VISA 16 digit
Daniel Hill
4408049689276951 03/28
CVC: 017
",butlerjoseph@example.com,http://www.brown.com/,+91 8761388580,"817 Vasquez Summit
Troyville, GA 56117",Valentine-Sparks,015-57-5726,Contact Mr Karl Guzman at butlerjoseph@examplecom or +91 8761388580.,"[(53, 67, 'phone')]"
Michael Williams,"VISA 13 digit
Gabriel Hicks
4274638364429 02/34
CVC: 479
",kathleennorris@example.com,http://smith.net/,+67 6008890093,"48383 Armstrong Streets
Chavezstad, MN 47799",Miller PLC,854-14-8495,"Payment made by Michael Williams using card VISA 13 digit
Gabriel Hicks
4274638364429 02/34
CVC: 479
","[(16, 32, 'name'), (44, 101, 'credit_card')]"
Nicholas Campos,"VISA 13 digit
Samantha Fitzgerald
4874534250620 03/34
CVC: 949
",amartinez@example.com,https://moore-walton.net/,+56 1741219454,"00901 Wyatt Extensions
North Saramouth, MO 39638","Johnson, Hartman and Anderson",380-90-0288,"The address is 00901 Wyatt Extensions
North Saramouth, MO 39638","[(15, 63, 'address')]"
Courtney Mccarthy,"JCB 16 digit
Haley Johnson
3527088031056040 03/31
CVC: 557
",jaredsmith@example.org,https://shelton-bates.biz/,+20 9070447869,"66793 Nicholas Harbor
New Carla, WY 26211",Juarez-Guerrero,837-26-5346,SSN 837-26-5346 is required.,"[(4, 15, 'ssn')]"
Keith Hayes,"JCB 16 digit
Kimberly Sullivan
3596110138953238 08/34
CVC: 470
",whiteheadkelly@example.org,https://www.gibson.com/,+91 2537858501,"USNV Gonzalez
FPO AE 27910",Johnson Ltd,876-65-8624,"Invoice for Johnson Ltd, sent to USNV Gonzalez
FPO AE 27910.","[(33, 59, 'address'), (12, 23, 'company')]"
Sheri Fletcher,"JCB 16 digit
Emily Walker
3558026776851656 12/31
CVC: 116
",madison66@example.org,https://www.cooper-atkinson.com/,+91 0290784189,"35528 Duarte Groves
Vasquezside, UT 50005","Johnston, Ruiz and Martinez",212-27-2733,"Reach out to Sheri Fletcher regarding the Johnston, Ruiz and Martinez audit","[(13, 27, 'name'), (42, 69, 'company')]"
Gregory Quinn,"Maestro
Stephanie Johnson
676183834636 03/31
CVV: 383
",andreaklein@example.org,https://www.chung-howard.net/,+34 5321543986,"50224 Manning Track
Klineborough, NY 51740",Liu and Sons,502-12-4195,My email is andreaklein@example.org and phone is +34 5321543986.,"[(12, 35, 'email'), (49, 63, 'phone')]"
Daniel Buchanan,"JCB 15 digit
Kristy Porter
180009578937719 01/33
CVC: 180
",lisa64@example.net,http://www.ford.com/,+965 4321969067,"4359 Shane Glen
Trevormouth, OH 26766","Simmons, Li and Ho",837-45-0867,"Confirmed transaction on card JCB 15 digit
Kristy Porter
180009578937719 01/33
CVC: 180
 for Daniel Buchanan","[(93, 108, 'name'), (30, 88, 'credit_card')]"
Raven May,"Diners Club / Carte Blanche
Amy Wood
30455976017368 05/33
CVC: 315
",darin88@example.org,https://gilbert.com/,+91 9243869294,"6225 Martinez Radial Apt. 391
Dunnville, SD 63082","Benitez, Alvarez and Walters",593-33-4182,Verify SSN 593-33-4182 at https://gilbertcom/.,"[(11, 22, 'ssn')]"
Michelle Dominguez,"JCB 16 digit
Alyssa Gibson
3556498680791975 09/32
CVC: 552
",nbrown@example.org,http://www.lowe-brown.biz/,+808 5570735726,"1780 Hughes Meadow Apt. 327
Petersenfort, MT 64399",Hanson-Lambert,663-74-9633,The complete report for Hanson-Lambert is available at http://wwwlowe-brownbiz/.,"[(24, 38, 'company')]"
Vanessa Rivera,"Diners Club / Carte Blanche
Brian Berry
30533817729449 08/30
CVC: 916
",dhunt@example.com,http://morgan.com/,+930 7356559533,"766 Simpson Forge
East Coreyside, DC 70241",Hunt Inc,483-31-6210,Contact Vanessa Rivera at dhunt@example.com or +930 7356559533.,"[(8, 22, 'name'), (26, 43, 'email'), (47, 62, 'phone')]"
Catherine Nguyen,"VISA 16 digit
Nicholas Bush
4441417235289456 05/29
CVC: 108
",kimberly71@example.com,https://morgan-weber.net/,+05 5386578783,"602 Kerr Passage Suite 986
North Calvin, FM 50263",Hogan LLC,311-28-4905,"Payment made by Catherine Nguyen using card VISA 16 digit
Nicholas Bush
4441417235289456 05/29
CVC: 108
.","[(16, 32, 'name'), (44, 104, 'credit_card')]"
Teresa Randall,"JCB 16 digit
Heather Smith
3510548673949595 12/31
CVC: 610
",qbrooks@example.org,http://moses.com/,+071 7791098722,"12002 Reid Cliffs
Lesliestad, OK 44113","Patton, Campbell and Mendoza",221-61-5842,"The address is 12002 Reid Cliffs
Lesliestad, OK 44113.","[(15, 53, 'address')]"
David Thompson,"JCB 16 digit
Debra Reynolds
3555601302437213 09/33
CVC: 721
",calebjohnson@example.org,https://www.harrison-mendoza.com/,+85 5071933702,"5742 Alexander Knolls
Smithborough, VT 05983",Bradley-Dunlap,730-98-1102,SSN 730-98-1102 is required.,"[(4, 15, 'ssn')]"
Michael Crawford,"Discover
Stephanie Deleon
6011746770071621 09/35
CVC: 776
",matthewsjerry@example.net,http://www.fitzpatrick.net/,+83 9465167219,"698 Wendy Circles Suite 057
Port Jason, DE 70455",Werner-Wyatt,049-36-4344,"Invoice for Werner-Wyatt, sent to 698 Wendy Circles Suite 057
Port Jason, DE 70455.","[(34, 82, 'address'), (12, 24, 'company')]"
Kristen Clements,"JCB 15 digit
Alyssa Patrick
180052272452791 10/27
CVC: 401
",collinssharon@example.net,https://woods.com/,+528 1501496151,"5084 Bruce Cliff
North David, OK 16477","Graham, Castro and Mcgee",846-80-9294,"Reach out to Kristen Clements regarding the Graham, Castro and Mcgee audit.","[(13, 29, 'name'), (44, 68, 'company')]"
Hannah Rice,"Mastercard
Jason Roman
2270070471079642 08/30
CVV: 574
",xstevens@example.com,http://www.smith.com/,+91 1858870855,"USNV Willis
FPO AA 64162",Moore-Watts,698-29-9847,My email is xstevens@examplecom and phone is +91 1858870855,"[(45, 59, 'phone')]"
Daniel Sanders,"Discover
Leonard Lopez
6561115942121215 10/33
CVC: 071
",dianehall@example.com,http://henderson.net/,+01 1149459315,"9814 Waters Harbors
Ericamouth, ID 61507","Wolfe, Taylor and Johnson",485-29-0384,"Confirmed transaction on card Discover
Leonard Lopez
6561115942121215 10/33
CVC: 071
 for Daniel Sanders.","[(90, 104, 'name'), (30, 85, 'credit_card')]"
Jeremy Cooper,"Maestro
Jessica Thompson
675917710526 11/30
CVV: 425
",charlesarroyo@example.net,https://may.com/,+83 6268509609,"322 Mclaughlin Club
Lauraview, RI 30909","Price, Howell and Pearson",588-28-2239,Verify SSN 588-28-2239 at https://may.com/.,"[(26, 42, 'url'), (11, 22, 'ssn')]"
Tyler Koch,"American Express
Darlene Decker
375126768195307 10/27
CID: 9386
",andrewsmith@example.net,https://www.lamb.com/,+38 4837453657,"098 Dawn Squares
New Jason, AR 10912","Byrd, Ware and Gonzalez",184-71-1153,"The complete report for Byrd, Ware and Gonzalez is available at https://www.lamb.com/.","[(64, 85, 'url'), (24, 47, 'company')]"
Ronald Lopez,"Discover
Jodi Stephenson
6556906975955421 09/32
CVC: 157
",eyoung@example.org,https://www.ferguson.com/,+06 8424437860,"554 Kimberly Dale Suite 580
New John, MN 46148",Wilcox-Keller,473-35-2703,Contact Ronald Lopez at eyoung@exampleorg or +06 8424437860,"[(8, 20, 'name'), (45, 59, 'phone')]"
Stephanie Hubbard,"VISA 16 digit
Rachel Rosales
4188584677427444 06/35
CVC: 040
",davidmalone@example.com,https://lewis-wilson.com/,+91 2177565157,"38257 Allen Ranch Suite 085
Denniston, IA 64284","Scott, Khan and Ross",079-65-0600,"Payment made by Stephanie Hubbard using card VISA 16 digit
Rachel Rosales
4188584677427444 06/35
CVC: 040
","[(16, 33, 'name'), (45, 106, 'credit_card')]"
Kristine Phillips,"Discover
Lindsey Day
6547453533827364 02/29
CVC: 407
",pauldeleon@example.com,https://hernandez.com/,+13 8473789597,"88809 Price Hollow Apt. 102
Susanfurt, MO 63743",Henry-Dunn,450-79-1575,"The address is 88809 Price Hollow Apt. 102
Susanfurt, MO 63743.","[(15, 62, 'address')]"
Mrs. Hannah Garrett,"VISA 19 digit
Natalie Richmond
4131087850903348004 06/30
CVC: 802
",stephanie93@example.com,https://hays.com/,+07 8817732554,"1624 Thomas Lodge
Caseyton, MD 07519",James Ltd,557-86-2845,SSN 557-86-2845 is required.,"[(4, 15, 'ssn')]"
Kristin Miller,"Discover
Shawn Hess
6594098079725779 04/34
CVC: 610
",robert16@example.org,https://www.benson.org/,+521 1610347236,"12093 John Gateway
New Rhonda, IA 26488","Mitchell, Wright and Sherman",087-31-4132,"Invoice for Mitchell, Wright and Sherman, sent to 12093 John Gateway
New Rhonda, IA 26488.","[(50, 89, 'address'), (12, 40, 'company')]"
Kristina Dawson,"Mastercard
Jermaine Trujillo
2263752492479633 11/28
CVV: 686
",proberson@example.net,https://mclaughlin.org/,+64 0602019465,"6951 Dalton Plain
West Tonyside, NY 77420",Lewis and Sons,786-82-8438,Reach out to Kristina Dawson regarding the Lewis and Sons audit.,"[(13, 28, 'name'), (43, 57, 'company')]"
Susan Owens,"VISA 16 digit
Amanda Adams
4578738053180484 12/26
CVC: 168
",charlesmccall@example.com,https://shepherd.com/,+91 7973863765,"8076 Jones Grove
Port Tracyberg, OK 07599",Mccormick-Zamora,355-42-3747,My email is charlesmccall@example.com and phone is +91 7973863765.,"[(12, 37, 'email'), (51, 65, 'phone')]"
Jo Gonzalez,"Maestro
David Gomez
676238897950 06/34
CVV: 029
",hollowaysarah@example.com,http://www.cooper-floyd.com/,+64 1802308787,"748 Mosley Ports Apt. 491
North Shaunmouth, IL 25268",Butler-Bass,498-75-3237,"Confirmed transaction on card Maestro
David Gomez
676238897950 06/34
CVV: 029
 for Jo Gonzalez.","[(83, 94, 'name'), (30, 78, 'credit_card')]"
Gregory Ferguson,"VISA 19 digit
Jennifer Miller
4950212962504851194 11/27
CVC: 247
",karen81@example.net,https://www.nunez-watson.org/,+91 8016006432,"Unit 5599 Box 9121
DPO AP 55414",Patterson Group,152-96-2049,Verify SSN 152-96-2049 at https://www.nunez-watson.org/.,"[(26, 55, 'url'), (11, 22, 'ssn')]"
Joshua Mack,"JCB 16 digit
Jennifer Butler
3590485840931649 12/26
CVC: 517
",harrisjustin@example.org,https://young-scott.com/,+95 1035637815,"7518 Alyssa Meadows
Shirleymouth, MD 36867",Delgado Inc,692-59-0688,The complete report for Delgado Inc is available at https://young-scott.com/.,"[(52, 76, 'url'), (24, 35, 'company')]"
David Leonard,"JCB 16 digit
Jasmine Wolfe
3581121847628273 12/29
CVC: 345
",pwillis@example.net,https://www.stephenson.com/,+91 0099795140,"865 Sheryl Track Suite 107
West Eric, IL 24541","Patel, Leon and Cox",208-13-7791,Contact David Leonard at pwillis@examplenet or +91 0099795140,"[(8, 21, 'name'), (47, 61, 'phone')]"
Stephanie Brandt,"Mastercard
Amy Johnson
2715056645540984 10/27
CVV: 078
",ohicks@example.com,http://www.smith-white.org/,+03 1641110442,"4166 Autumn Walks
Parksbury, TX 63713",Snyder Group,588-21-4973,"Payment made by Stephanie Brandt using card Mastercard
Amy Johnson
2715056645540984 10/27
CVV: 078
","[(16, 32, 'name'), (44, 99, 'credit_card')]"
Jennifer Lane,"JCB 15 digit
Shawn Powell
213106990332601 07/26
CVC: 720
",xparks@example.com,http://www.atkins-strong.com/,+83 5256172767,"15030 Brian River
Elizabethfort, MA 25267",Donaldson LLC,863-52-3691,"The address is 15030 Brian River
Elizabethfort, MA 25267","[(15, 56, 'address')]"
Shelia Cox,"VISA 13 digit
Veronica Brandt
4444575445420 06/33
CVC: 659
",cjohnson@example.org,http://www.stone.com/,+91 5862279325,"5510 Hancock Corners
Port Troy, NV 65443","Reed, Silva and Whitney",277-48-7669,SSN 277-48-7669 is required,"[(4, 15, 'ssn')]"
George Callahan,"VISA 16 digit
Chelsea Goodwin
4274492112818620 07/26
CVC: 558
",cnelson@example.com,https://tucker.net/,+91 5839984324,"1262 Thompson Valley
West Jeffrey, PR 86768","Dixon, Jones and Davis",133-67-5363,"Invoice for Dixon, Jones and Davis, sent to 1262 Thompson Valley
West Jeffrey, PR 86768.","[(44, 87, 'address'), (12, 34, 'company')]"
Richard Moore,"Discover
Andrew Williams
6544052668028849 10/30
CVC: 913
",lyonsvernon@example.org,https://gaines-brandt.com/,+91 1890187969,"93841 Robinson Extension Apt. 400
North Joseph, OH 72121","Lowe, Martinez and Franklin",616-79-0349,"Reach out to Richard Moore regarding the Lowe, Martinez and Franklin audit.","[(13, 26, 'name'), (41, 68, 'company')]"
Elizabeth Callahan,"Mastercard
Juan Cunningham
5250137953351448 05/30
CVV: 072
",christopher46@example.com,https://www.kramer.com/,+39 7030391182,"PSC 8017, Box 9781
APO AP 79477",Clark Inc,294-10-2215,My email is christopher46@example.com and phone is +39 7030391182.,"[(12, 37, 'email'), (51, 65, 'phone')]"
Jeffrey Brown,"VISA 16 digit
Jennifer Khan
4558318330021373 05/30
CVC: 811
",patriciachen@example.net,http://rice-marquez.com/,+562 8856796699,"13961 Boone Loaf Suite 023
North Rachel, ID 88973",Lopez-Colon,179-46-2717,"Confirmed transaction on card VISA 16 digit
Jennifer Khan
4558318330021373 05/30
CVC: 811
 for Jeffrey Brown.","[(95, 108, 'name'), (30, 90, 'credit_card')]"
Pamela Carter,"VISA 16 digit
John Campbell
4178162827689122 02/27
CVC: 362
",jimmy26@example.net,http://orr-howard.com/,+91 5003100493,"728 Martin Camp Suite 058
Hesterview, MT 40997",Smith-Perez,396-36-7676,Verify SSN 396-36-7676 at http://orr-howard.com/.,"[(26, 48, 'url'), (11, 22, 'ssn')]"
Jesse Riley,"Discover
Laura Boyd
6519000173987398 09/35
CVC: 816
",william60@example.org,http://brown.com/,+91 7817488100,"83765 Spears Village Suite 928
Danielston, IA 55593",Farrell-Waller,511-26-1375,The complete report for Farrell-Waller is available at http://brown.com/.,"[(55, 72, 'url'), (24, 38, 'company')]"
Chloe Hill,"American Express
David Paul
344520089360681 05/34
CID: 8507
",amygreen@example.com,http://anthony-harrington.com/,+814 3700453406,"21748 Lawrence Ford
Lake Zacharystad, MD 99121","Summers, Wells and Cole",278-71-5453,Contact Chloe Hill at amygreen@example.com or +814 3700453406.,"[(8, 18, 'name'), (22, 42, 'email'), (46, 61, 'phone')]"
Mrs. Cynthia Michael MD,"VISA 13 digit
Melanie Hurley
4497909066544 10/30
CVC: 721
",johnstonrichard@example.org,https://dorsey.com/,+91 4591943433,"66262 Jason Mountain Apt. 630
Anthonyfort, MA 02605",Frye Inc,516-81-9304,"Payment made by Mrs. Cynthia Michael MD using card VISA 13 digit
Melanie Hurley
4497909066544 10/30
CVC: 721
.","[(16, 39, 'name'), (51, 109, 'credit_card')]"
James Moore,"JCB 16 digit
James Arnold
3570299127674168 04/34
CVC: 490
",jodystrong@example.com,https://www.baker-green.com/,+03 3510549499,"131 Watson Islands
Lake Shane, SD 54971",Johnson Inc,661-91-4303,"The address is 131 Watson Islands
Lake Shane, SD 54971.","[(15, 54, 'address')]"
Steven Hansen,"Mastercard
James Ball
2720906620367220 05/34
CVV: 109
",whiteheadteresa@example.net,https://www.rivera.com/,+91 1810361331,"322 Dominguez Prairie Suite 572
Perezville, AL 29791",Green-Flores,005-38-7766,SSN 005-38-7766 is required.,"[(4, 15, 'ssn')]"
Robert Tran,"Discover
Ryan Schneider
6571992635531688 09/31
CVC: 372
",william91@example.com,http://may.info/,+39 7044038680,"132 Maria Extensions Suite 000
Lake Douglas, AR 01181",Ramirez Ltd,072-62-9514,"Invoice for Ramirez Ltd, sent to 132 Maria Extensions Suite 000
Lake Douglas, AR 01181.","[(33, 86, 'address'), (12, 23, 'company')]"
Christopher Robinson,"VISA 19 digit
Jeff Reed
4779240204672497040 12/28
CVC: 348
",rodriguezkristina@example.org,http://hernandez.com/,+91 0488830268,"51658 Austin Corners
New Jasonland, IA 76606","Frazier, Henson and Smith",793-17-0937,"Reach out to Christopher Robinson regarding the Frazier, Henson and Smith audit.","[(13, 33, 'name'), (48, 73, 'company')]"
Deanna Bailey,"VISA 19 digit
Crystal Simpson
4846379548196493020 04/33
CVC: 980
",sullivandonald@example.org,http://www.white.com/,+58 9599777421,"55354 Mark Branch Apt. 424
Richardsonmouth, CT 90626",Newton-Davis,630-17-8167,My email is sullivandonald@example.org and phone is +58 9599777421.,"[(12, 38, 'email'), (52, 66, 'phone')]"
Dr. Hannah Horton,"American Express
Roger Green
371860288693201 07/32
CID: 2138
",rebecca50@example.com,https://lopez-santiago.com/,+49 4205843868,"382 Crystal Harbors Suite 614
Port Kathytown, VA 55098",Short-Simmons,423-65-3450,"Confirmed transaction on card American Express
Roger Green
371860288693201 07/32
CID: 2138
 for Dr. Hannah Horton.","[(96, 113, 'name'), (30, 91, 'credit_card')]"
Drew Wise,"Mastercard
Andrew Buckley
2720430473582249 12/27
CVV: 574
",crosbychristopher@example.net,http://joseph.com/,+31 5183605286,"3851 Church Turnpike
Port Stephenberg, AL 68239",Rodriguez Group,876-31-9652,Verify SSN 876-31-9652 at http://josephcom/,"[(11, 22, 'ssn')]"
Jennifer Tucker,"JCB 15 digit
Jennifer Morris
213126868958964 11/31
CVC: 406
",brittneylopez@example.com,http://www.harvey-robinson.biz/,+91 8566771573,"PSC 2920, Box 6599
APO AP 13592","Rollins, Rodriguez and Rose",373-37-7145,"The complete report for Rollins, Rodriguez and Rose is available at http://www.harvey-robinson.biz/.","[(68, 99, 'url'), (24, 51, 'company')]"
Dr. Eric Henderson,"Mastercard
Jeanne Johnson
2341415796271942 12/32
CVV: 074
",tray@example.com,http://cabrera.com/,+98 1779920398,"63173 Brown Harbor
Lake Rodney, AR 56414","Berger, Larson and Williams",879-27-5122,Contact Dr. Eric Henderson at tray@example.com or +98 1779920398.,"[(8, 26, 'name'), (30, 46, 'email'), (50, 64, 'phone')]"
Nancy Murray,"Maestro
Erin Higgins
503813681726 11/27
CVV: 113
",nfitzgerald@example.com,https://www.powell.com/,+74 7699232732,"9104 Cathy Streets
Edwardsshire, MN 21972","Avila, Ramos and Wilkins",458-76-5505,"Payment made by Nancy Murray using card Maestro
Erin Higgins
503813681726 11/27
CVV: 113
.","[(16, 28, 'name'), (40, 89, 'credit_card')]"
Dr. Shawn Sanders,"VISA 16 digit
Dominic Rogers
4044023812681213 06/33
CVC: 590
",yutimothy@example.net,http://www.jennings.info/,+91 8014857660,"782 Kathleen Curve
Perezberg, NV 16141","Meyer, Chen and Mcgrath",212-82-7927,"The address is 782 Kathleen Curve
Perezberg, NV 16141","[(15, 53, 'address')]"
Christopher Bolton,"VISA 13 digit
Troy Beck
4858650530097 04/35
CVC: 876
",jonathan81@example.org,http://www.ward-cole.info/,+42 6570486840,"02484 Sean Shore Suite 154
Lake Taylor, TN 47125","Lee, Barnes and Mclaughlin",624-26-4273,SSN 624-26-4273 is required.,"[(4, 15, 'ssn')]"
Paul Williams,"VISA 16 digit
Shelia Tran
4349508278015940 03/29
CVC: 249
",jermaine35@example.com,https://herrera-roman.info/,+773 0025905197,"113 Jasmine Mountains Apt. 257
Stevenland, DE 75592",Rodriguez and Sons,265-23-2951,"Invoice for Rodriguez and Sons, sent to 113 Jasmine Mountains Apt. 257
Stevenland, DE 75592.","[(40, 91, 'address'), (12, 30, 'company')]"
Lori Simmons,"VISA 16 digit
Heather Brown
4319344300777604 04/29
CVC: 492
",floresamy@example.org,https://ray-phillips.com/,+91 0952563302,"9490 Thomas Villages
Lake Christopher, WV 07993","Aguilar, Blackwell and Clarke",203-82-1383,"Reach out to Lori Simmons regarding the Aguilar, Blackwell and Clarke audit","[(13, 25, 'name'), (40, 69, 'company')]"
Randy Martin,"VISA 16 digit
Brandon Richards
4362421763541481 06/26
CVC: 143
",umoore@example.net,http://www.hoover-richmond.com/,+941 7838692902,"08640 Andersen Pine
Nicoleberg, ND 46001",Kelley Group,827-42-5205,My email is umoore@examplenet and phone is +941 7838692902.,"[(43, 58, 'phone')]"
